source_id,status,theme,kind,reviewer_reason
S103,opted_out,media,refusal,NAMED OPT-OUT
S104,opted_out,media,refusal,NAMED OPT-OUT
S105,opted_out,media,refusal,robots.txt refusal of the feed itself
S106,opted_out,camera,refusal,EXPLICIT REFUSAL
S107,opted_out,camera,refusal,EXPLICIT REFUSAL
S108,opted_out,camera,refusal,EXPLICIT REFUSAL
S139,restricted,water,hydrology,"BLOCKING: the Sava GIS Data Policy states data providers and receivers 'may not redistribute data ... to any third party without the prior agreement or consent'. BEOPS publishes its evidence, so a no-redistribution clause is incompatible with the project regardless of how open the viewing is."
S143,opted_out,heritage,gazetteer,"NAMED OPT-OUT. robots.txt disallows anthropic-ai, ClaudeBot and Claude-Web by name, each with Disallow: /. The site additionally serves an Anubis proof-of-work challenge against AI scraping. Honoured in full: not through the web UI, not through the bulk download, not through an archive, not under another name."
S144,opted_out,mobility,registry,"robots.txt has Allow: /feeds then Disallow: /feeds/. urllib.robotparser answered allowed; RFC 9309 longest-match answers disallowed, and the disallow stands. See CORRECTIONS.md C-004 - this source is why the verdict engine was rewritten. It also carries Content-Signal ai-train=no, search=yes, ai-input=yes as an express Article 4 reservation."
S165,opted_out,finance,research_finance,"CORDIS content is openly licensed, but the download PATH is disallowed to automated agents and that is honoured."
S190,blocked,air_quality,supersite_instruments_via_preprint,"Web-observed CC BY4.0 article declaration; direct stored response is403, not licence text. Underlying data have separate conditions."
S194,opted_out,spatial_backbone,gis_service,"ODbL 1.0, attribution '© OpenStreetMap contributors'; used as simplified orientation geometry in the studies and the document, attributed, not redistributed as a data product"
S204,opted_out,documentary,refusal,"NAMED OPT-OUT. Official materials of a state body would be outside copyright (Art. 6(2)), but the project honours a named refusal regardless of copyright. Do not collect. Do not propose again."
S209,opted_out,utilities,refusal,NAMED OPT-OUT. Do not collect. Do not propose again.
S210,opted_out,utilities,refusal,NAMED OPT-OUT. Do not collect.
S211,opted_out,mobility,refusal,a bot wall is a refusal for an honest collector: we do not solve challenges
