source_id,theme,kind,status,is_polled,has_stored_permission_evidence,host,reviewer_reason
S01,weather,station_observation,collected,yes,yes,www.hidmet.gov.rs,not verified
S02,weather,station_observation,primary_page,no,yes,www.hidmet.gov.rs,not verified
S03,weather,airport_observation,collected,yes,yes,aviationweather.gov,verify attribution/policy for chosen output
S04,iot,citizen_sensor_observation,probe_ok,yes,yes,data.sensor.community,confirm licence and redistribution terms before publishing
S05,air,provisional_station_observation,probe_ok,no,yes,www.beoeko.com,not verified
S06,air_memory,validated_historical_series,primary_page,no,yes,data.gov.rs,check selected resource licence
S07,weather_forecast,model_grid_forecast,probe_ok,no,yes,open-meteo.com,free API noncommercial conditions; attribution and underlying data terms apply
S08,air,measurement_aggregator,primary_page,no,yes,docs.openaq.org,per-source licence metadata must be retained
S09,water,provisional_river_observation,probe_ok,no,no,www.hidmet.gov.rs,not verified
S10,mobility,operator_occupancy_aggregate,probe_ok,yes,yes,www.parking-servis.co.rs,public republication not verified; bounded internal research observation only
S100,energy,energy,probe_ok,no,yes,datasets.wri.org,CC-BY-4.0
S101,atmosphere,air_quality_aggregator,lead,no,yes,api.openaq.org,OpenAQ terms
S102,ground_motion,insar,no_coverage,no,yes,land.copernicus.eu,Coverage metadata reviewed; no local EGMS dataset or raw-product grant claimed.
S103,media,refusal,opted_out,no,no,beobuild.rs,NAMED OPT-OUT
S104,media,refusal,opted_out,no,no,www.ekapija.com,NAMED OPT-OUT
S105,media,refusal,opted_out,no,no,www.politika.rs,robots.txt refusal of the feed itself
S106,camera,refusal,opted_out,no,no,kamere.amss.org.rs,EXPLICIT REFUSAL
S107,camera,refusal,opted_out,no,no,www.windy.com,EXPLICIT REFUSAL
S108,camera,refusal,opted_out,no,no,www.skylinewebcams.com,EXPLICIT REFUSAL
S109,camera,satellite_imagery,probe_ok,no,yes,dataspace.copernicus.eu,"free, full and open access... reproduction, distribution, communication, adaptation, modification; attribution only"
S11,services,planned_service_notice,probe_ok,yes,yes,www.bvk.rs,check allowed metadata/derived-fact publication
S110,camera,satellite_imagery,probe_ok,no,yes,data.eumetsat.int,CC-BY-4.0; Users may redistribute all Core Data and Products
S111,seismic,seismic_waveform,lead,no,yes,geofon.gfz.de,declared open
S112,archive,retrospective,probe_ok,no,yes,web.archive.org,Internet Archive terms
S113,finance,price_series,probe_ok,no,yes,nbs.rs,NBS terms
S114,built_form,settlement_growth,probe_ok,no,yes,download.geoservice.dlr.de,"CC BY 4.0, DLR attribution"
S115,terrain,terrain,probe_ok,no,no,,The use rights granted under this licence are free of charge to the User; attribution to DLR/Airbus under COPERNICUS
S116,solar,solar,probe_ok,no,yes,re.jrc.ec.europa.eu,JRC open data
S117,risk,flood_hazard,probe_ok,no,yes,data.jrc.ec.europa.eu,CC BY 4.0
S118,risk,seismic_hazard,probe_ok,no,yes,www.efehr.org,"CC BY 4.0, cite Danciu et al. 2021"
S119,risk,landslide,lead,no,yes,esdac.jrc.ec.europa.eu,not stated
S12,services,planned_service_notice,collected,yes,yes,www.elektrodistribucija.rs,not verified
S120,people,population,probe_ok,no,yes,data.humdata.org,CC BY - usable for ANY purpose including commercial
S121,soil,soil,probe_ok,no,yes,soilgrids.org,CC-BY 4.0
S122,geology,geology,primary_page,no,yes,www.europe-geology.eu,"Free download for personal, teaching, research or non-commercial use - NON-COMMERCIAL"
S123,historical,historical_map,probe_ok,no,yes,digitalna.nb.rs,per item; the 1921 city plan is marked PUBLIC DOMAIN
S124,historical,historical_map,lead,no,yes,mapire.eu,Arcanum terms
S125,historical,negative_finding,no_coverage,no,no,www.vgi.mod.gov.rs,commercial
S126,osm_history,osm_history,probe_ok,no,yes,api.ohsome.org,HeiGIT terms
S127,osm_history,osm_extract,probe_ok,no,yes,download.geofabrik.de,ODbL 1.0
S128,land,land_cover,probe_ok,no,yes,esa-worldcover.org,CC-BY 4.0
S129,forest,forest,probe_ok,no,yes,glad.earthengine.app,open with attribution
S13,mobility_memory,scheduled_transit_structure,probe_ok,no,yes,data.gov.rs,catalogue states Serbian Open Data Licence
S130,reference,reference,probe_ok,no,yes,ec.europa.eu,Eurostat terms
S131,roads,roads,probe_ok,no,yes,www.globio.info,CC-0 - the most permissive licence in the registry
S132,prices,negative_finding,no_coverage,no,no,data.gov.rs,portal terms
S133,land,land_cover,probe_ok,no,yes,land.copernicus.eu,Copernicus data policy
S135,mobility,gis_service,token_required,no,yes,gisportal.rs,not applicable - no data obtained
S138,heritage,heritage_register,probe_ok,no,yes,whc.unesco.org,"UNESCO publishes Content-Signal search=yes, ai-train=no, use=reference in robots.txt. Reference use is exactly what BEOPS does; NOTHING from this source may ever be used to train a model, and that restriction travels with the data - see EDGE_CASES.md E-010."
S139,water,hydrology,restricted,no,yes,www.savacommission.org,"BLOCKING: the Sava GIS Data Policy states data providers and receivers 'may not redistribute data ... to any third party without the prior agreement or consent'. BEOPS publishes its evidence, so a no-redistribution clause is incompatible with the project regardless of how open the viewing is."
S14,mobility,official_transport_notice,probe_ok,no,yes,www.bgprevoz.rs,not verified
S140,water,water_quality,account_required,no,yes,wq-db.icpdr.org,not established - the terms were not reachable without the account
S141,heritage,linked_open_data,needs_decision,no,yes,query.wikidata.org,"content is CC0 1.0, but robots.txt at query.wikidata.org carries Disallow: /sparql for User-agent: * - see EDGE_CASES.md E-009"
S142,spatial,spatial_query,needs_decision,no,yes,overpass-api.de,"ODbL, but robots.txt at overpass-api.de carries Disallow: /api/ for User-agent: * while publishing a sitemap under that same path - see EDGE_CASES.md E-009"
S143,heritage,gazetteer,opted_out,no,yes,pleiades.stoa.org,"NAMED OPT-OUT. robots.txt disallows anthropic-ai, ClaudeBot and Claude-Web by name, each with Disallow: /. The site additionally serves an Anubis proof-of-work challenge against AI scraping. Honoured in full: not through the web UI, not through the bulk download, not through an archive, not under another name."
S144,mobility,registry,opted_out,no,yes,www.transit.land,"robots.txt has Allow: /feeds then Disallow: /feeds/. urllib.robotparser answered allowed; RFC 9309 longest-match answers disallowed, and the disallow stands. See CORRECTIONS.md C-004 - this source is why the verdict engine was rewritten. It also carries Content-Signal ai-train=no, search=yes, ai-input=yes as an express Article 4 reservation."
S145,events,event_calendar,primary_page,no,yes,www.sajam.rs,terms page exists but was not read in this pass - MUST be captured before any collection
S146,air,air_quality,probe_ok,yes,yes,opendata.kosava.cloud,'Otvoreni podaci po Zakonu o e-upravi (CC BY-equivalent)' with a licence URL; applicable_legislation is given as an ELI URI: http://data.europa.eu/eli/reg_impl/2023/138/oj (EU High-Value Datasets Implementing Regulation)
S147,catalogue,catalogue,probe_ok,no,yes,data.gov.rs,3528 of 3530 datasets carry licence 'sodl' (Serbian Open Data Licence); 2 unspecified
S148,statistics,statistics,probe_ok,no,yes,opendata.stat.gov.rs,sodl (Serbian Open Data Licence)
S149,economy,registry,probe_ok,no,yes,openapi.apr.gov.rs,sodl
S15,mobility,official_transport_notice,probe_ok,yes,yes,www.beograd.rs,not verified
S150,spatial,address_register,probe_ok,no,yes,download.geosrbija.rs,sodl
S151,land,gis_service,probe_ok,no,yes,gis.mre.gov.rs,sodl (via the data.gov.rs entries pointing at these layers)
S152,air,biological,probe_ok,no,yes,data.gov.rs,sodl
S153,air,emissions,probe_ok,no,yes,data.gov.rs,sodl
S154,governance,governance,probe_ok,no,yes,data.gov.rs,sodl
S155,infrastructure,spectrum,primary_page,no,yes,data.gov.rs,sodl
S156,governance,procurement,primary_page,no,yes,data.gov.rs,sodl
S157,air,biological,probe_ok,no,yes,77.46.150.200,sodl via the data.gov.rs entry
S158,infrastructure,electromagnetic,probe_ok,no,yes,emf.ratel.rs,Mixed products: prior identified archives SODL; page168 chart reuse not established.
S159,education,institutions,probe_ok,no,yes,opendata.mpn.gov.rs,sodl
S16,seismic,local_earthquake_catalogue,primary_page,no,yes,seismo.gov.rs,not verified
S160,heritage,heritage_register,lead,no,yes,opendata.geosrbija.rs,sodl
S161,derived,derived_indicators,lead,no,yes,geoanaliticari.github.io,"NOT ESTABLISHED - listed on data.gov.rs under sodl, but a GitHub Pages site is not automatically open; check before use"
S162,governance,governance,lead,no,yes,opendata.ite.gov.rs,sodl
S163,governance,governance,lead,no,yes,www.dri.rs,sodl
S164,finance,development_finance,probe_ok,no,yes,search.worldbank.org,World Bank open data terms - CC BY 4.0 for most datasets; verify per endpoint
S165,finance,research_finance,opted_out,no,yes,cordis.europa.eu,"CORDIS content is openly licensed, but the download PATH is disallowed to automated agents and that is honoured."
S166,finance,development_finance,primary_page,no,yes,www.eib.org,not established
S167,finance,development_finance,lead,no,yes,www.ebrd.com,not established
S168,finance,development_finance,probe_ok,no,yes,www.wbif.eu,not established
S169,finance,cooperation_projects,probe_ok,no,yes,keep.eu,not established - check the site terms before collecting
S17,seismic,regional_event_catalogue,probe_ok,no,yes,www.seismicportal.eu,service documents CC BY 4.0
S170,finance,aid_transparency,probe_ok,no,yes,iatiregistry.org,publisher-dependent; IATI activity files are generally open
S171,construction,permits,lead,no,yes,www.gradjevinskedozvole.rs,not established - read the portal terms before any collection
S172,law,legal_corpus,lead,no,yes,www.pravno-informacioni-sistem.rs,official materials are outside copyright protection under the Serbian Act Art. 6(2) - the cleanest corpus available
S173,catalogue,catalogue,probe_ok,no,yes,data.europa.eu,per dataset; the portal federates national catalogues
S174,urban,planning,lead,no,yes,urbel.com,not established
S175,utilities,utility,probe_ok,yes,yes,bvk.rs,not established per utility
S176,mobility,road_safety,lead,no,yes,www.abs.gov.rs,not established
S177,life,biodiversity,probe_ok,no,no,api.gbif.org,"per dataset, mostly CC0 / CC-BY / CC-BY-NC - the record carries its own licence"
S178,life,biodiversity,probe_ok,no,no,api.inaturalist.org,per observation; research-grade records are largely CC-BY-NC or CC0 - check per record
S179,sight,street_imagery,probe_ok,no,no,api.panoramax.xyz,the API response carries the licence per object: CC-BY-SA-4.0 on the probed Belgrade item
S18,seismic,global_event_catalogue,probe_ok,no,yes,earthquake.usgs.gov,verify USGS/source attribution policy
S180,sky,aircraft,probe_ok,no,no,api.adsb.lol,ODbL per the project; confirm before publishing derived data
S181,heat,thermal,lead,no,no,cmr.earthdata.nasa.gov,NASA open data
S182,mobility,micromobility,no_coverage,no,no,raw.githubusercontent.com,n/a
S183,ground,seismic,probe_ok,no,no,api.raspberryshake.org,to establish - the network has its own data policy
S184,emissions,stack_emission_monitoring,collected,no,yes,www.bcenergy.rs,No explicit redistribution licence established; public operator reports
S185,atmosphere,station_catalogue,no_coverage,no,yes,aeronet.gsfc.nasa.gov,NASA AERONET describes its database as public domain; observe published request limits
S186,atmosphere,lidar_station_metadata,probe_ok,no,yes,api.actris-ares.eu,CC BY4.0 policy category established for received Level1/2 product metadata; raw legacy product remains unresolved.
S187,hydrology,bathymetry_and_discharge_instrument_inventory,needs_decision,no,yes,www.plovput.gov.rs,Explicit operator content/database reservation; legacy-domain scope unresolved. Free portal service access is not an open reuse grant.
S188,weather,upper_air_radiosonde,primary_page,no,yes,hidmet.gov.rs,RHMZ terms; numerical data reuse unestablished
S189,mobility,traffic_signal_detector_inventory,primary_page,no,yes,www.bgsaobracaj.rs,not established
S19,ground_motion,station_metadata_waveform_route,probe_ok,no,yes,orfeus-eu.org,inspect channel/network data terms
S190,air_quality,supersite_instruments_via_preprint,blocked,no,yes,www.preprints.org,"Web-observed CC BY4.0 article declaration; direct stored response is403, not licence text. Underlying data have separate conditions."
S191,air_quality,aerosol_dataset_catalogue,primary_page,no,yes,webasoop.org,All eight newly received DOI records declare CC BY4.0; DataCite metadata itself CC0. Prior DTT declared CC BY4.0. Dataset grant does not establish file access or override resource notices.
